Timestamp,PPS,Unique_IPs,Top_IP_Count,TCP_Count,UDP_Count
00:06:57,10,3,5,10,0
00:06:58,23,3,6,14,0
00:06:59,15,4,7,13,2
00:07:00,9,4,5,4,5
00:07:01,27,3,9,18,0
00:07:02,14,3,6,14,0
00:07:03,32,4,20,8,24
00:07:04,10,1,1,0,1
00:07:05,11,4,6,10,1
00:07:06,19,4,8,19,0
00:07:07,20,3,5,10,1
00:07:08,2,1,1,0,1
00:07:09,17,3,3,5,3
00:07:10,17,4,7,17,0
00:07:12,13,4,5,12,1
00:07:13,31,4,18,30,1
00:07:14,53,5,20,30,14
00:07:15,53,4,24,23,30
00:07:16,9,1,1,0,1
00:07:17,11,3,6,10,1
00:07:18,24,5,10,24,0
00:07:19,31,4,13,9,14
00:07:20,9,3,4,6,3
00:07:21,19,4,8,18,1
00:07:22,36,4,21,8,28
00:07:23,43,4,28,8,27
00:07:24,123,6,70,24,99
00:07:25,44,5,12,18,18
00:07:26,34,5,18,9,24
00:07:27,33,3,22,0,32
00:07:28,60,4,33,13,39
00:07:29,37,4,19,14,23
00:07:30,41,6,24,12,29
00:07:31,31,4,10,8,15
00:07:32,46,4,26,14,32
00:07:33,18,4,8,8,10
00:07:34,22,3,7,5,9
00:07:35,26,4,12,14,12
00:07:36,47,4,26,13,34
00:07:37,29,5,10,10,10
00:07:38,12,3,7,6,6
00:07:39,28,5,15,9,19
00:07:40,87,5,47,14,64
00:07:41,31,4,17,14,17
00:07:42,19,4,7,15,4
00:07:43,45,4,22,8,28
00:07:44,67,4,37,13,54
00:07:45,12,3,6,10,2
00:07:46,18,3,4,8,1
00:07:48,18,3,7,17,1
00:07:49,6,2,4,5,1
00:07:50,15,3,3,3,3
00:07:51,18,4,7,18,0
00:07:52,20,4,4,11,0
00:07:53,19,2,13,0,19
00:07:54,7,2,4,6,1
00:07:55,15,3,7,15,0
00:07:56,29,4,9,19,1
00:07:57,91,5,44,38,53
00:07:58,101,6,52,47,54
00:07:59,151,7,71,44,98
00:08:00,36,7,17,14,22
00:08:01,33,5,8,11,13
00:08:02,30,5,17,23,7
00:08:03,8,3,4,8,0
00:08:04,14,3,6,13,1
00:08:05,19,3,4,9,1
00:08:06,2,2,1,2,0
00:08:07,15,2,3,5,1
00:08:08,12,4,4,9,3
00:08:09,25,4,9,14,9
00:08:10,25,5,5,13,2
00:08:11,38,6,18,19,19
00:08:12,51,6,21,44,7
00:08:13,71,4,35,58,13
00:08:14,71,5,32,56,6
00:08:15,89,6,37,56,33
00:08:16,35,5,11,26,1
00:08:17,44,7,21,43,1
00:08:18,29,4,15,28,1
00:08:19,42,5,13,33,1
00:08:20,21,5,7,18,3
00:08:21,8,3,5,7,1
00:08:22,24,4,7,9,7
00:08:23,31,4,16,29,2
00:08:24,26,4,10,25,1
00:08:25,27,4,8,19,0
00:08:26,16,3,7,15,1
00:08:27,17,5,7,16,1
00:08:28,15,2,5,6,1
00:08:29,11,3,6,10,1
00:08:30,36,8,13,33,3
00:08:31,23,5,6,14,1
00:08:32,29,3,20,6,23
00:08:33,5,2,3,4,1
00:08:34,30,4,9,21,1
00:08:35,10,3,4,10,0
00:08:36,10,2,5,8,2
00:08:37,19,3,5,10,1
00:08:38,18,3,7,18,0
00:08:39,30,4,17,29,1
00:08:40,33,4,11,22,3
00:08:41,12,3,6,11,1
00:08:42,21,4,8,21,0
00:08:43,34,4,10,25,1
00:08:44,79,6,39,48,31
00:08:45,79,7,37,48,31
00:08:46,13,4,2,3,2
00:08:47,28,3,15,26,2
00:08:48,44,6,21,34,10
00:08:49,38,5,14,8,22
00:08:51,25,6,11,22,1
00:08:52,32,6,11,21,2
00:08:53,82,7,39,32,50
00:08:54,140,6,63,48,92
00:08:55,48,5,24,15,33
00:08:56,31,3,13,5,18
00:08:57,57,5,31,24,33
00:08:58,59,4,29,8,42
00:08:59,18,4,7,14,4
00:09:00,24,3,14,21,3
00:09:01,52,5,22,27,16
00:09:02,68,8,37,37,31
00:09:03,18,4,9,8,10
00:09:04,45,4,21,25,11
00:09:05,40,5,17,30,10
00:09:06,24,5,11,15,9
00:09:07,51,4,23,18,24
00:09:08,7,3,3,4,2
00:09:09,43,4,19,8,26
00:09:10,101,8,63,27,74
00:09:11,27,7,12,19,8
00:09:12,14,3,8,8,6
00:09:13,41,3,20,6,27
00:09:14,68,7,32,28,40
00:09:15,36,4,18,13,23
00:09:16,17,2,5,8,1
00:09:17,8,3,4,7,1
00:09:19,29,4,8,21,0
00:09:20,9,3,3,9,0
00:09:21,10,3,6,6,4
00:09:22,20,4,10,19,1
00:09:23,30,4,9,22,0
00:09:24,30,4,17,29,1
00:09:25,30,2,14,21,1
00:09:26,14,3,6,13,1
00:09:27,13,3,5,13,0
00:09:28,8,3,3,8,0
00:09:29,18,2,5,8,2
00:09:30,10,4,4,7,3
00:09:31,46,6,25,20,24
00:09:32,30,7,11,26,1
00:09:33,17,4,7,16,1
00:09:34,34,5,10,24,1
00:09:35,11,3,5,10,1
00:09:36,13,4,7,12,1
00:09:37,7,2,4,6,1
00:09:38,31,4,8,22,0
00:09:39,9,3,3,9,0
00:09:40,13,2,2,0,4
00:09:41,34,5,20,19,15
00:09:42,27,5,8,19,8
00:09:43,30,4,9,21,0
00:09:44,32,5,15,30,2
00:09:45,35,4,18,6,29
00:09:46,25,4,6,16,0
00:09:47,16,3,8,14,2
00:09:48,1,1,1,0,1
00:09:49,23,3,6,13,1
00:09:50,20,5,7,17,3
00:09:51,25,5,12,23,1
00:09:52,4,3,2,4,0
00:09:53,14,3,7,12,2
00:09:54,19,3,8,18,1
00:09:55,18,3,3,9,0
00:09:56,7,2,4,6,1
00:09:57,7,2,4,6,1
00:09:58,42,5,17,16,17
00:09:59,142,6,68,18,124
00:10:00,33,4,14,6,18
00:10:01,42,3,25,5,37
00:10:02,67,6,36,28,39
00:10:03,21,4,10,9,12
00:10:04,70,3,39,8,53
00:10:05,19,4,8,7,12
00:10:07,32,5,13,21,10
00:10:08,41,4,24,8,33
00:10:09,11,2,6,0,10
00:10:10,35,5,11,15,11
00:10:11,28,5,11,18,10
00:10:12,24,5,9,19,5
00:10:13,52,7,24,27,24
00:10:14,52,7,25,18,24
00:10:15,139,7,82,21,118
00:10:16,26,3,7,15,2
00:10:17,12,4,6,11,1
00:10:18,29,3,18,15,14
00:10:19,40,4,19,38,2
00:10:20,25,4,6,14,3
00:10:21,34,5,16,18,16
00:10:22,27,3,12,1,18
00:10:23,94,7,46,90,4
00:10:24,16,3,7,15,1
00:10:25,16,3,3,8,0
00:10:26,9,2,5,7,2
00:10:27,17,4,8,16,1
00:10:28,39,4,18,39,0
00:10:29,56,5,23,31,17
00:10:30,29,6,10,24,3
00:10:31,21,4,5,11,1
00:10:32,9,3,5,7,2
00:10:33,31,4,17,29,2
00:10:34,24,4,6,15,1
00:10:35,24,4,9,23,0
00:10:36,16,4,6,14,1
00:10:37,61,6,25,16,36
00:10:38,16,4,8,13,3
00:10:39,38,5,19,35,3
00:10:40,21,4,5,12,1
00:10:41,7,2,4,6,1
00:10:42,19,4,7,19,0
00:10:43,30,5,10,20,2
00:10:44,61,5,34,9,52
00:10:45,13,3,6,11,2
00:10:46,30,4,8,21,1
00:10:48,21,5,8,19,2
00:10:49,9,2,5,7,2
00:10:50,81,8,31,64,9
00:10:51,15,3,7,14,1
00:10:52,21,4,6,13,0
00:10:53,9,2,5,7,2
00:10:54,32,6,12,30,1
00:10:55,10,4,3,9,0
00:10:56,17,2,5,7,2
00:10:57,9,2,6,8,1
00:10:58,20,4,8,20,0
00:10:59,28,4,10,20,0
00:11:00,33,3,17,29,4
00:11:01,14,2,3,5,1
00:11:02,26,5,11,26,0
00:11:03,14,3,6,14,0
00:11:04,62,8,32,23,39
00:11:05,9,1,1,0,1
00:11:06,6,2,4,6,0
00:11:07,35,5,13,24,2
00:11:08,13,4,5,12,1
00:11:09,30,3,17,15,14
00:11:10,53,6,27,26,27
00:11:11,24,3,6,14,1
00:11:12,18,5,8,18,0
00:11:13,1,1,1,0,1
00:11:14,42,4,18,15,18
00:11:15,103,8,56,48,55
00:11:16,32,4,10,23,0
00:11:17,31,4,19,10,21
00:11:18,10,3,4,9,1
00:11:19,20,4,10,9,11
00:11:20,40,4,17,28,4
00:11:21,37,4,14,36,1
00:11:22,24,3,7,15,1
00:11:23,97,6,61,40,57
00:11:24,84,4,56,15,69
00:11:25,45,3,21,3,34
00:11:26,48,4,28,10,38
00:11:27,60,5,33,22,38
00:11:28,38,4,20,13,25
00:11:29,71,6,37,30,33
00:11:30,58,5,30,21,37
00:11:31,26,4,8,9,9
00:11:32,34,5,14,23,11
00:11:33,24,4,10,14,10
00:11:34,39,5,14,23,7
00:11:35,35,6,21,11,23
00:11:36,29,4,14,7,21
00:11:37,33,5,12,14,10
00:11:38,100,5,63,37,63
00:11:39,41,5,19,26,15
00:11:40,11,1,2,0,2
00:11:41,57,6,29,40,17
00:11:42,21,4,9,14,7
00:11:43,32,4,19,9,23
00:11:44,17,2,5,7,2
00:11:45,51,5,27,13,38
00:11:46,14,3,6,14,0
00:11:47,35,4,12,26,1
00:11:48,11,4,5,10,1
00:11:49,12,3,6,11,1
00:11:50,26,4,8,16,2
00:11:51,21,5,8,20,1
00:11:52,34,5,19,15,18
00:11:53,8,0,0,0,0
00:11:54,16,3,7,13,2
00:11:55,25,4,10,24,1
00:11:56,25,4,7,18,0
00:11:57,12,3,8,3,9
00:11:58,8,2,4,6,1
00:11:59,61,5,31,29,24
00:12:00,28,4,10,26,1
00:12:01,23,4,10,22,1
00:12:02,26,3,8,18,1
00:12:04,14,4,6,14,0
00:12:05,2,1,2,0,2
00:12:06,29,4,10,20,1
00:12:07,19,4,7,18,0
00:12:08,32,5,14,11,13
00:12:09,20,3,11,15,4
00:12:10,30,5,11,27,3
00:12:11,15,3,7,15,0
00:12:12,35,5,9,27,0
00:12:13,11,3,5,8,2
00:12:14,9,2,5,7,1
00:12:15,61,7,24,25,29
00:12:16,18,6,8,15,2
00:12:17,8,1,1,0,1
00:12:18,28,5,16,22,4
00:12:19,30,4,11,27,2
00:12:20,19,3,7,17,1
00:12:21,23,4,6,15,0
00:12:22,2,1,1,0,1
00:12:23,15,2,4,6,1
00:12:24,21,4,10,19,1
00:12:25,14,4,5,12,1
00:12:26,21,3,8,11,2
00:12:27,31,3,14,9,21
00:12:28,56,5,29,38,17
00:12:29,28,5,10,26,1
00:12:30,25,5,6,13,3
00:12:31,56,4,32,18,37
00:12:32,33,6,10,22,2
00:12:33,23,4,8,13,9
00:12:34,36,6,18,20,15
00:12:35,4,2,2,2,1
00:12:36,23,3,7,13,1
00:12:37,34,5,14,32,1
00:12:38,24,3,7,15,0
00:12:39,37,5,22,22,14
00:12:40,13,2,7,11,1
00:12:41,22,3,6,12,1
00:12:42,17,3,8,16,0
00:12:43,16,4,6,15,0
00:12:44,44,3,21,0,35
00:12:45,36,5,16,15,20
00:12:46,24,4,9,23,0
00:12:47,20,4,6,11,1
00:12:48,23,2,14,21,1
00:12:49,42,5,19,25,16
00:12:50,39,5,13,29,2
00:12:51,23,5,9,22,0
00:12:52,3,1,2,0,2
00:12:53,23,3,6,14,1
00:12:54,29,4,14,14,14
00:12:55,9,3,3,8,0
00:12:56,188,8,92,103,77
00:12:57,33,5,14,30,1
00:12:58,23,4,6,14,0
00:12:59,123,7,69,79,43
00:13:01,206,7,89,59,146
00:13:02,89,5,39,37,51
00:13:03,60,5,28,19,33
00:13:04,59,5,34,14,44
00:13:05,41,3,17,8,25
00:13:06,73,8,38,37,35
00:13:07,60,5,33,21,38
00:13:08,55,5,25,32,14
00:13:09,31,3,12,17,11
00:13:10,26,6,10,16,10
00:13:11,27,4,12,13,13
00:13:12,38,6,13,18,11
00:13:13,22,2,16,0,21
00:13:14,29,4,10,8,12
00:13:15,58,6,29,16,41
00:13:16,19,4,8,12,6
00:13:17,103,4,70,15,87
00:13:18,16,2,5,6,2
00:13:19,35,6,16,30,4
00:13:20,29,4,8,21,0
00:13:21,37,5,24,9,27
00:13:22,31,6,10,9,21
00:13:23,28,4,8,20,0
00:13:24,10,3,3,9,0
00:13:25,11,2,5,8,2
00:13:26,16,2,5,7,1
00:13:27,22,4,10,21,0
00:13:28,29,5,14,28,0
00:13:29,41,4,17,14,19
00:13:30,18,4,6,14,3
00:13:31,20,5,6,17,2
00:13:32,18,3,4,9,1
00:13:33,8,2,4,6,1
00:13:34,8,2,4,6,1
00:13:35,33,5,9,24,1
00:13:37,35,4,20,10,24
00:13:38,24,6,11,21,1
00:13:39,27,4,9,17,1
00:13:40,23,4,9,21,1
00:13:41,17,3,4,8,1
00:13:42,11,2,5,9,1
00:13:43,7,2,4,6,0
00:13:44,19,4,7,17,1
00:13:45,56,5,26,8,40
00:13:46,27,5,9,24,2
00:13:47,30,4,11,8,14
00:13:48,33,3,19,31,1
00:13:49,27,4,11,24,2
00:13:50,35,6,9,25,2
00:13:51,16,3,6,14,1
00:13:52,48,8,21,25,22
00:13:53,2,1,1,0,1
00:13:54,24,3,7,16,0
00:13:55,19,3,7,17,1
00:13:56,18,3,5,8,2
00:13:57,9,2,5,8,0
00:13:58,12,3,6,10,1
00:13:59,39,5,17,36,2
00:14:00,50,4,17,42,0
00:14:01,16,4,7,14,1
00:14:02,9,1,1,0,1
00:14:03,15,3,6,14,1
00:14:04,16,4,6,16,0
00:14:05,16,3,3,9,0
00:14:06,9,2,5,7,2
00:14:07,10,3,6,9,1
00:14:08,53,4,22,44,1
00:14:09,37,6,13,36,1
00:14:10,34,4,21,6,28
00:14:11,18,3,5,10,1
00:14:12,15,3,7,13,2
00:14:13,20,4,9,19,1
00:14:14,16,3,4,8,1
00:14:15,46,4,19,9,37
